gene_id	pathway_id	pathway_name
HORVU.MOREX.r3.5HG0467900	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.5HG0478190	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.5HG0487790	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.6HG0591490	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.6HG0591520	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.6HG0591600	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.6HG0591680	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.6HG0591690	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.6HG0593150	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.6HG0593180	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.6HG0593230	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.6HG0616710	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.7HG0751620	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.4HG0353330	GO:0000086	G2/M transition of mitotic cell cycle
HORVU.MOREX.r3.4HG0413490	GO:0000086	G2/M transition of mitotic cell cycle
HORVU.MOREX.r3.5HG0463930	GO:0000086	G2/M transition of mitotic cell cycle
HORVU.MOREX.r3.6HG0550810	GO:0000086	G2/M transition of mitotic cell cycle
HORVU.MOREX.r3.7HG0680610	GO:0000086	G2/M transition of mitotic cell cycle
HORVU.MOREX.r3.3HG0325760	GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity
HORVU.MOREX.r3.5HG0466330	GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity
HORVU.MOREX.r3.5HG0527050	GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity
HORVU.MOREX.r3.5HG0533720	GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity
HORVU.MOREX.r3.6HG0602070	GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity
HORVU.MOREX.r3.1HG0067230	GO:0000103	sulfate assimilation
HORVU.MOREX.r3.2HG0099730	GO:0000103	sulfate assimilation
HORVU.MOREX.r3.2HG0101940	GO:0000103	sulfate assimilation
HORVU.MOREX.r3.2HG0132440	GO:0000103	sulfate assimilation
HORVU.MOREX.r3.2HG0135660	GO:0000103	sulfate assimilation
HORVU.MOREX.r3.2HG0142030	GO:0000103	sulfate assimilation
HORVU.MOREX.r3.4HG0398840	GO:0000103	sulfate assimilation
HORVU.MOREX.r3.4HG0409330	GO:0000103	sulfate assimilation
HORVU.MOREX.r3.5HG0453710	GO:0000103	sulfate assimilation
HORVU.MOREX.r3.5HG0509820	GO:0000103	sulfate assimilation
HORVU.MOREX.r3.6HG0597710	GO:0000103	sulfate assimilation
HORVU.MOREX.r3.6HG0627070	GO:0000103	sulfate assimilation
HORVU.MOREX.r3.7HG0650860	GO:0000103	sulfate assimilation
HORVU.MOREX.r3.7HG0693340	GO:0000103	sulfate assimilation
HORVU.MOREX.r3.1HG0063530	GO:0000105	L-histidine biosynthetic process
HORVU.MOREX.r3.2HG0111060	GO:0000105	L-histidine biosynthetic process
HORVU.MOREX.r3.2HG0165510	GO:0000105	L-histidine biosynthetic process
HORVU.MOREX.r3.2HG0195640	GO:0000105	L-histidine biosynthetic process
HORVU.MOREX.r3.3HG0254640	GO:0000105	L-histidine biosynthetic process
HORVU.MOREX.r3.3HG0257140	GO:0000105	L-histidine biosynthetic process
HORVU.MOREX.r3.4HG0390930	GO:0000105	L-histidine biosynthetic process
HORVU.MOREX.r3.4HG0409260	GO:0000105	L-histidine biosynthetic process
HORVU.MOREX.r3.6HG0608110	GO:0000105	L-histidine biosynthetic process
HORVU.MOREX.r3.4HG0390930	GO:0000107	imidazoleglycerol-phosphate synthase activity
HORVU.MOREX.r3.3HG0300880	GO:0000109	nucleotide-excision repair complex
HORVU.MOREX.r3.1HG0050640	GO:0000110	nucleotide-excision repair factor 1 complex
HORVU.MOREX.r3.4HG0418780	GO:0000110	nucleotide-excision repair factor 1 complex
HORVU.MOREX.r3.7HG0672400	GO:0000111	nucleotide-excision repair factor 2 complex
HORVU.MOREX.r3.3HG0281430	GO:0000112	nucleotide-excision repair factor 3 complex
HORVU.MOREX.r3.1HG0000130	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.1HG0024370	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.1HG0068090	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.1HG0093590	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.1HG0093610	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.2HG0095520	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.2HG0126760	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.2HG0147120	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.2HG0165820	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.3HG0218640	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.3HG0218740	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.4HG0346510	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.4HG0375930	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.5HG0437670	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.5HG0456400	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.5HG0478600	GO:0000118	histone deacetylase complex
