pathway_id	pathway_name	source	source_version	filled_date_utc
GO:0044027	negative regulation of gene expression via chromosomal CpG island methylation	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0047453	ATP-dependent NAD(P)H-hydrate dehydratase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0050577	GDP-L-fucose synthase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0050589	leucocyanidin oxygenase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0050613	Delta14-sterol reductase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0050614	Delta24-sterol reductase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0050665	hydrogen peroxide biosynthetic process	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0050687	negative regulation of defense response to virus	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0050821	protein stabilization	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0050897	cobalt ion binding	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0050992	dimethylallyl diphosphate biosynthetic process	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051010	microtubule plus-end binding	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051011	microtubule minus-end binding	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051013	microtubule severing	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051016	barbed-end actin filament capping	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051026	chiasma assembly	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051060	pullulanase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051082	obsolete unfolded protein binding	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051083	'de novo' cotranslational protein folding	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051117	ATPase binding	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051123	RNA polymerase II preinitiation complex assembly	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
