gene_id	gene_name	description
HORVU.MOREX.r3.7HG0714910	NA	NA
HORVU.MOREX.r3.5HG0484700	NA	NA
HORVU.MOREX.r3.4HG0396580	NA	NA
HORVU.MOREX.r3.4HG0369880	NA	NA
HORVU.MOREX.r3.4HG0400340	NA	NA
HORVU.MOREX.r3.2HG0151240	NA	NA
HORVU.MOREX.r3.2HG0125440	NA	NA
HORVU.MOREX.r3.2HG0195410	NA	NA
HORVU.MOREX.r3.3HG0222590	NA	NA
HORVU.MOREX.r3.6HG0561380	NA	NA
HORVU.MOREX.r3.6HG0622620	NA	NA
HORVU.MOREX.r3.1HG0059220	NA	NA
HORVU.MOREX.r3.4HG0393260	NA	NA
HORVU.MOREX.r3.4HG0414630	NA	NA
HORVU.MOREX.r3.4HG0400300	NA	NA
HORVU.MOREX.r3.2HG0195100	NA	NA
HORVU.MOREX.r3.7HG0708450	NA	NA
HORVU.MOREX.r3.3HG0231870	NA	NA
HORVU.MOREX.r3.7HG0743530	NA	NA
HORVU.MOREX.r3.5HG0449060	NA	NA
HORVU.MOREX.r3.3HG0325580	NA	NA
HORVU.MOREX.r3.4HG0348500	NA	NA
HORVU.MOREX.r3.7HG0647010	NA	NA
HORVU.MOREX.r3.3HG0310270	NA	NA
HORVU.MOREX.r3.3HG0230870	NA	NA
HORVU.MOREX.r3.1HG0055500	NA	NA
HORVU.MOREX.r3.3HG0316220	NA	NA
HORVU.MOREX.r3.3HG0325200	NA	NA
HORVU.MOREX.r3.2HG0126070	NA	NA
HORVU.MOREX.r3.3HG0221030	NA	NA
HORVU.MOREX.r3.7HG0647310	NA	NA
HORVU.MOREX.r3.3HG0308450	NA	NA
HORVU.MOREX.r3.7HG0653770	NA	NA
HORVU.MOREX.r3.3HG0314150	NA	NA
HORVU.MOREX.r3.4HG0407840	NA	NA
HORVU.MOREX.r3.6HG0568410	NA	NA
HORVU.MOREX.r3.3HG0328070	NA	NA
HORVU.MOREX.r3.1HG0094860	NA	NA
HORVU.MOREX.r3.6HG0633970	NA	NA
HORVU.MOREX.r3.1HG0074390	NA	NA
HORVU.MOREX.r3.5HG0427480	NA	NA
HORVU.MOREX.r3.7HG0697400	NA	NA
HORVU.MOREX.r3.2HG0126010	NA	NA
